year,kind,system,page_number,chapter_code,chapter_name,class_code,amount_czk
2026,exp,exp_druhove,28,376,Generální inspekce bezpečnostních sborů,541,125953510
2026,exp,exp_druhove,28,378,Národní úřad pro kybernetickou a informační bezpečnost,549,5700000
2026,exp,exp_druhove,28,378,Národní úřad pro kybernetickou a informační bezpečnost,554,3577500
2026,exp,exp_druhove,28,381,Nejvyšší kontrolní úřad,554,130000
2026,exp,exp_druhove,28,398,Všeobecná pokladní správa,549,8700000000
2026,exp,exp_druhove,28,398,Všeobecná pokladní správa,551,63679740000
2026,exp,exp_druhove,29,302,Poslanecká sněmovna Parlamentu,581,19000000
2026,exp,exp_druhove,29,302,Poslanecká sněmovna Parlamentu,611,7400000
2026,exp,exp_druhove,29,303,Senát Parlamentu,581,8500000
2026,exp,exp_druhove,29,303,Senát Parlamentu,611,300000
2026,exp,exp_druhove,29,304,Úřad vlády České republiky,590,220000
2026,exp,exp_druhove,29,304,Úřad vlády České republiky,611,1750000
2026,exp,exp_druhove,29,305,Bezpečnostní informační služba,590,2477829858
2026,exp,exp_druhove,29,306,Ministerstvo zahraničních věcí,611,116161195
2026,exp,exp_druhove,29,307,Ministerstvo obrany,581,9773000
2026,exp,exp_druhove,29,307,Ministerstvo obrany,590,6256514929
2026,exp,exp_druhove,29,307,Ministerstvo obrany,611,806578099
2026,exp,exp_druhove,29,308,Národní bezpečnostní úřad,611,75000000
2026,exp,exp_druhove,29,312,Ministerstvo financí,581,89372906
2026,exp,exp_druhove,29,312,Ministerstvo financí,590,32619400
2026,exp,exp_druhove,29,312,Ministerstvo financí,611,533031944
2026,exp,exp_druhove,29,313,Ministerstvo práce a sociálních věcí,581,390000000
2026,exp,exp_druhove,29,313,Ministerstvo práce a sociálních věcí,590,11000
2026,exp,exp_druhove,29,313,Ministerstvo práce a sociálních věcí,611,2280582025
2026,exp,exp_druhove,29,314,Ministerstvo vnitra,581,49132000
2026,exp,exp_druhove,29,314,Ministerstvo vnitra,590,439557947
2026,exp,exp_druhove,29,314,Ministerstvo vnitra,611,817787605
2026,exp,exp_druhove,29,315,Ministerstvo životního prostředí,581,552000000
2026,exp,exp_druhove,29,315,Ministerstvo životního prostředí,590,460946374
2026,exp,exp_druhove,29,317,Ministerstvo pro místní rozvoj,590,386916054
2026,exp,exp_druhove,29,321,Grantová agentura České republiky,611,3200000
2026,exp,exp_druhove,29,322,Ministerstvo průmyslu a obchodu,611,991248000
2026,exp,exp_druhove,29,327,Ministerstvo dopravy,581,4503500000
2026,exp,exp_druhove,29,327,Ministerstvo dopravy,611,337626406
2026,exp,exp_druhove,29,328,Český telekomunikační úřad,611,38000000
2026,exp,exp_druhove,29,329,Ministerstvo zemědělství,581,955100000
2026,exp,exp_druhove,29,329,Ministerstvo zemědělství,590,16500000
2026,exp,exp_druhove,29,329,Ministerstvo zemědělství,611,150000000
2026,exp,exp_druhove,29,333,"Ministerstvo školství, mládeže a tělovýchovy",590,15661024
2026,exp,exp_druhove,29,333,"Ministerstvo školství, mládeže a tělovýchovy",611,4728200
2026,exp,exp_druhove,29,334,Ministerstvo kultury,590,1110098
2026,exp,exp_druhove,29,334,Ministerstvo kultury,611,9000000
2026,exp,exp_druhove,29,335,Ministerstvo zdravotnictví,590,37521716
2026,exp,exp_druhove,29,336,Ministerstvo spravedlnosti,581,2000000
2026,exp,exp_druhove,29,336,Ministerstvo spravedlnosti,590,5911283
2026,exp,exp_druhove,29,336,Ministerstvo spravedlnosti,611,89309601
2026,exp,exp_druhove,29,344,Úřad průmyslového vlastnictví,611,12500000
2026,exp,exp_druhove,29,345,Český statistický úřad,581,150000
2026,exp,exp_druhove,29,345,Český statistický úřad,590,7869707
2026,exp,exp_druhove,29,345,Český statistický úřad,611,15779863
2026,exp,exp_druhove,29,346,Český úřad zeměměřický a katastrální,611,94715000
2026,exp,exp_druhove,29,348,Český báňský úřad,611,3305000
2026,exp,exp_druhove,29,349,Energetický regulační úřad,581,1000
2026,exp,exp_druhove,29,349,Energetický regulační úřad,611,9000000
2026,exp,exp_druhove,29,353,Úřad pro ochranu hospodářské soutěže,590,30000
2026,exp,exp_druhove,29,353,Úřad pro ochranu hospodářské soutěže,611,15000000
2026,exp,exp_druhove,29,355,Ústav pro studium totalitních režimů,611,100000
2026,exp,exp_druhove,29,358,Ústavní soud,611,803000
2026,exp,exp_druhove,29,362,Národní sportovní agentura,590,11746263
2026,exp,exp_druhove,29,362,Národní sportovní agentura,611,10000000
2026,exp,exp_druhove,29,364,Digitální a informační agentura,611,123000000
2026,exp,exp_druhove,29,371,Úřad pro dohled nad hospodařením polit. stran a polit. hnutí,611,730000
2026,exp,exp_druhove,29,372,Rada pro rozhlasové a televizní vysílání,611,3540000
2026,exp,exp_druhove,29,374,Správa státních hmotných rezerv,590,50000
2026,exp,exp_druhove,29,374,Správa státních hmotných rezerv,611,33000000
2026,exp,exp_druhove,29,375,Státní úřad pro jadernou bezpečnost,611,5846000
2026,exp,exp_druhove,29,376,Generální inspekce bezpečnostních sborů,590,5000000
2026,exp,exp_druhove,29,377,Technologická agentura České republiky,590,1976007
2026,exp,exp_druhove,29,377,Technologická agentura České republiky,611,82000
2026,exp,exp_druhove,29,378,Národní úřad pro kybernetickou a informační bezpečnost,611,113320300
2026,exp,exp_druhove,29,381,Nejvyšší kontrolní úřad,590,10000
2026,exp,exp_druhove,29,381,Nejvyšší kontrolní úřad,611,5000000
2026,exp,exp_druhove,29,396,Státní dluh,590,1500000000
2026,exp,exp_druhove,29,398,Všeobecná pokladní správa,571,500000000
2026,exp,exp_druhove,29,398,Všeobecná pokladní správa,581,1012750000
2026,exp,exp_druhove,29,398,Všeobecná pokladní správa,590,10347038961
2026,exp,exp_druhove,29,398,Všeobecná pokladní správa,611,60000000
2026,exp,exp_druhove,30,301,Kancelář prezidenta republiky,635,51840000
2026,exp,exp_druhove,30,302,Poslanecká sněmovna Parlamentu,612,128600000
2026,exp,exp_druhove,30,303,Senát Parlamentu,612,42650000
2026,exp,exp_druhove,30,304,Úřad vlády České republiky,612,123711289
2026,exp,exp_druhove,30,306,Ministerstvo zahraničních věcí,612,317094425
2026,exp,exp_druhove,30,307,Ministerstvo obrany,612,44196424229
2026,exp,exp_druhove,30,307,Ministerstvo obrany,632,10000000
2026,exp,exp_druhove,30,307,Ministerstvo obrany,634,26663330
2026,exp,exp_druhove,30,307,Ministerstvo obrany,635,171723680
2026,exp,exp_druhove,30,308,Národní bezpečnostní úřad,612,17500000
2026,exp,exp_druhove,30,309,Kancelář veřejného ochránce práv a ochránce práv dětí,612,5500000
2026,exp,exp_druhove,30,312,Ministerstvo financí,612,3286541968
2026,exp,exp_druhove,30,312,Ministerstvo financí,613,218429280
2026,exp,exp_druhove,30,313,Ministerstvo práce a sociálních věcí,612,506581213
2026,exp,exp_druhove,30,313,Ministerstvo práce a sociálních věcí,632,1050000
2026,exp,exp_druhove,30,313,Ministerstvo práce a sociálních věcí,634,8902512515
2026,exp,exp_druhove,30,313,Ministerstvo práce a sociálních věcí,635,27440000
2026,exp,exp_druhove,30,314,Ministerstvo vnitra,612,7445035122
2026,exp,exp_druhove,30,314,Ministerstvo vnitra,613,72700000
2026,exp,exp_druhove,30,314,Ministerstvo vnitra,631,224000000
2026,exp,exp_druhove,30,314,Ministerstvo vnitra,634,2880439000
2026,exp,exp_druhove,30,314,Ministerstvo vnitra,635,163738424
2026,exp,exp_druhove,30,315,Ministerstvo životního prostředí,633,1148787488
2026,exp,exp_druhove,30,315,Ministerstvo životního prostředí,635,17054187
2026,exp,exp_druhove,30,317,Ministerstvo pro místní rozvoj,633,2200000000
2026,exp,exp_druhove,30,321,Grantová agentura České republiky,612,1688000
2026,exp,exp_druhove,30,321,Grantová agentura České republiky,635,40500000
2026,exp,exp_druhove,30,322,Ministerstvo průmyslu a obchodu,612,180352000
2026,exp,exp_druhove,30,322,Ministerstvo průmyslu a obchodu,620,3768000000
2026,exp,exp_druhove,30,322,Ministerstvo průmyslu a obchodu,631,8727000000
2026,exp,exp_druhove,30,322,Ministerstvo průmyslu a obchodu,635,2000000
2026,exp,exp_druhove,30,327,Ministerstvo dopravy,612,52432900
2026,exp,exp_druhove,30,327,Ministerstvo dopravy,631,33636077
2026,exp,exp_druhove,30,327,Ministerstvo dopravy,633,84163824328
2026,exp,exp_druhove,30,327,Ministerstvo dopravy,635,10000000
2026,exp,exp_druhove,30,328,Český telekomunikační úřad,612,49500000
2026,exp,exp_druhove,30,329,Ministerstvo zemědělství,612,2371033242
2026,exp,exp_druhove,30,329,Ministerstvo zemědělství,631,1265000000
2026,exp,exp_druhove,30,329,Ministerstvo zemědělství,633,4810268683
2026,exp,exp_druhove,30,329,Ministerstvo zemědělství,634,1075000000
2026,exp,exp_druhove,30,329,Ministerstvo zemědělství,635,94521088
2026,exp,exp_druhove,30,333,"Ministerstvo školství, mládeže a tělovýchovy",612,102096616
2026,exp,exp_druhove,30,333,"Ministerstvo školství, mládeže a tělovýchovy",632,25194100
2026,exp,exp_druhove,30,333,"Ministerstvo školství, mládeže a tělovýchovy",634,211989190
2026,exp,exp_druhove,30,333,"Ministerstvo školství, mládeže a tělovýchovy",635,3724122253
2026,exp,exp_druhove,30,334,Ministerstvo kultury,612,156380000
2026,exp,exp_druhove,30,334,Ministerstvo kultury,632,11700000
2026,exp,exp_druhove,30,334,Ministerstvo kultury,633,230281747
2026,exp,exp_druhove,30,334,Ministerstvo kultury,634,239000000
2026,exp,exp_druhove,30,334,Ministerstvo kultury,635,2047079047
2026,exp,exp_druhove,30,335,Ministerstvo zdravotnictví,612,35000000
2026,exp,exp_druhove,30,335,Ministerstvo zdravotnictví,632,10000000
2026,exp,exp_druhove,30,335,Ministerstvo zdravotnictví,635,5158636939
2026,exp,exp_druhove,30,336,Ministerstvo spravedlnosti,612,1067110730
2026,exp,exp_druhove,30,336,Ministerstvo spravedlnosti,613,5351000
2026,exp,exp_druhove,30,336,Ministerstvo spravedlnosti,635,837588
2026,exp,exp_druhove,30,343,Úřad pro ochranu osobních údajů,612,26600000
2026,exp,exp_druhove,30,344,Úřad průmyslového vlastnictví,612,3500000
2026,exp,exp_druhove,30,345,Český statistický úřad,612,18350000
2026,exp,exp_druhove,30,346,Český úřad zeměměřický a katastrální,612,173769107
2026,exp,exp_druhove,30,348,Český báňský úřad,612,8800000
2026,exp,exp_druhove,30,349,Energetický regulační úřad,612,19600000
2026,exp,exp_druhove,30,353,Úřad pro ochranu hospodářské soutěže,612,4200000
2026,exp,exp_druhove,30,355,Ústav pro studium totalitních režimů,612,7500000
2026,exp,exp_druhove,30,358,Ústavní soud,612,16700000
2026,exp,exp_druhove,30,359,Úřad Národní rozpočtové rady,612,200000
2026,exp,exp_druhove,30,361,Akademie věd České republiky,635,1514000000
2026,exp,exp_druhove,30,362,Národní sportovní agentura,632,613650000
2026,exp,exp_druhove,30,362,Národní sportovní agentura,634,976350000
2026,exp,exp_druhove,30,364,Digitální a informační agentura,612,99000000
2026,exp,exp_druhove,30,364,Digitální a informační agentura,635,141000000
2026,exp,exp_druhove,30,371,Úřad pro dohled nad hospodařením polit. stran a polit. hnutí,612,5859400
2026,exp,exp_druhove,30,374,Správa státních hmotných rezerv,612,396837000
2026,exp,exp_druhove,30,375,Státní úřad pro jadernou bezpečnost,612,14361960
2026,exp,exp_druhove,30,375,Státní úřad pro jadernou bezpečnost,635,17450000
2026,exp,exp_druhove,30,377,Technologická agentura České republiky,612,200000
2026,exp,exp_druhove,30,378,Národní úřad pro kybernetickou a informační bezpečnost,612,121557674
2026,exp,exp_druhove,30,381,Nejvyšší kontrolní úřad,612,24500000
2026,exp,exp_druhove,30,398,Všeobecná pokladní správa,620,251000000
2026,exp,exp_druhove,30,398,Všeobecná pokladní správa,634,68000000
2026,exp,exp_druhove,31,304,Úřad vlády České republiky,690,2000000
2026,exp,exp_druhove,31,305,Bezpečnostní informační služba,690,420000000
2026,exp,exp_druhove,31,307,Ministerstvo obrany,638,456200000
2026,exp,exp_druhove,31,307,Ministerstvo obrany,690,19309158256
2026,exp,exp_druhove,31,312,Ministerstvo financí,690,9520000
2026,exp,exp_druhove,31,313,Ministerstvo práce a sociálních věcí,690,12914259
2026,exp,exp_druhove,31,314,Ministerstvo vnitra,690,1010283896
2026,exp,exp_druhove,31,315,Ministerstvo životního prostředí,690,14477396940
2026,exp,exp_druhove,31,317,Ministerstvo pro místní rozvoj,690,18913407443
2026,exp,exp_druhove,31,322,Ministerstvo průmyslu a obchodu,641,14547000000
2026,exp,exp_druhove,31,336,Ministerstvo spravedlnosti,690,31448359
2026,exp,exp_druhove,31,376,Generální inspekce bezpečnostních sborů,690,16964000
2025,exp,exp_druhove,33,301,Kancelář prezidenta republiky,5011,117364047
2025,exp,exp_druhove,33,301,Kancelář prezidenta republiky,5021,2614621
2025,exp,exp_druhove,33,301,Kancelář prezidenta republiky,5022,4656000
2025,exp,exp_druhove,33,302,Poslanecká sněmovna Parlamentu,5011,243187695
2025,exp,exp_druhove,33,302,Poslanecká sněmovna Parlamentu,5021,8736210
2025,exp,exp_druhove,33,302,Poslanecká sněmovna Parlamentu,5022,352853244
2025,exp,exp_druhove,33,302,Poslanecká sněmovna Parlamentu,5024,109094
2025,exp,exp_druhove,33,302,Poslanecká sněmovna Parlamentu,5026,3885000
2025,exp,exp_druhove,33,303,Senát Parlamentu,5011,136228061
2025,exp,exp_druhove,33,303,Senát Parlamentu,5021,1655522
2025,exp,exp_druhove,33,303,Senát Parlamentu,5022,147843547
2025,exp,exp_druhove,33,304,Úřad vlády České republiky,5011,198672253
2025,exp,exp_druhove,33,304,Úřad vlády České republiky,5013,213753157
2025,exp,exp_druhove,33,304,Úřad vlády České republiky,5021,67112848
2025,exp,exp_druhove,33,304,Úřad vlády České republiky,5022,24625200
2025,exp,exp_druhove,33,306,Ministerstvo zahraničních věcí,5011,91991550
2025,exp,exp_druhove,33,306,Ministerstvo zahraničních věcí,5013,1070785350
2025,exp,exp_druhove,33,306,Ministerstvo zahraničních věcí,5021,5773358
2025,exp,exp_druhove,33,306,Ministerstvo zahraničních věcí,5022,2664000
2025,exp,exp_druhove,33,307,Ministerstvo obrany,5011,3708112508
2025,exp,exp_druhove,33,307,Ministerstvo obrany,5012,17497348371
2025,exp,exp_druhove,33,307,Ministerstvo obrany,5013,847168071
2025,exp,exp_druhove,33,307,Ministerstvo obrany,5021,92011357
2025,exp,exp_druhove,33,307,Ministerstvo obrany,5022,2664000
2025,exp,exp_druhove,33,307,Ministerstvo obrany,5024,5500000
2025,exp,exp_druhove,33,307,Ministerstvo obrany,5025,7000000
2025,exp,exp_druhove,33,308,Národní bezpečnostní úřad,5011,176082517
2025,exp,exp_druhove,33,308,Národní bezpečnostní úřad,5021,1120438
2025,exp,exp_druhove,33,308,Národní bezpečnostní úřad,5024,300000
2025,exp,exp_druhove,33,309,Kancelář veřejného ochránce práv a ochránce práv dětí,5011,95195777
2025,exp,exp_druhove,33,309,Kancelář veřejného ochránce práv a ochránce práv dětí,5021,2880980
2025,exp,exp_druhove,33,309,Kancelář veřejného ochránce práv a ochránce práv dětí,5022,9129600
2025,exp,exp_druhove,33,312,Ministerstvo financí,5011,1819654067
2025,exp,exp_druhove,33,312,Ministerstvo financí,5012,2726954818
2025,exp,exp_druhove,33,312,Ministerstvo financí,5013,8962683255
2025,exp,exp_druhove,33,312,Ministerstvo financí,5014,131965200
2025,exp,exp_druhove,33,312,Ministerstvo financí,5021,46141522
2025,exp,exp_druhove,33,312,Ministerstvo financí,5022,2664000
2025,exp,exp_druhove,33,312,Ministerstvo financí,5024,6153518
2025,exp,exp_druhove,33,313,Ministerstvo práce a sociálních věcí,5011,1000990476
2025,exp,exp_druhove,33,313,Ministerstvo práce a sociálních věcí,5013,8647722005
2025,exp,exp_druhove,33,313,Ministerstvo práce a sociálních věcí,5021,101070275
2025,exp,exp_druhove,33,314,Ministerstvo vnitra,5011,5663022761
2025,exp,exp_druhove,33,314,Ministerstvo vnitra,5012,36055156671
2025,exp,exp_druhove,33,314,Ministerstvo vnitra,5013,1961362009
2025,exp,exp_druhove,33,314,Ministerstvo vnitra,5021,289383074
2025,exp,exp_druhove,33,314,Ministerstvo vnitra,5024,14828646
2025,exp,exp_druhove,33,315,Ministerstvo životního prostředí,5011,260042547
2025,exp,exp_druhove,33,315,Ministerstvo životního prostředí,5013,985023032
2025,exp,exp_druhove,33,315,Ministerstvo životního prostředí,5021,39631470
2025,exp,exp_druhove,33,315,Ministerstvo životního prostředí,5022,2664000
2025,exp,exp_druhove,33,315,Ministerstvo životního prostředí,5024,500000
2025,exp,exp_druhove,33,317,Ministerstvo pro místní rozvoj,5011,136460589
2025,exp,exp_druhove,33,317,Ministerstvo pro místní rozvoj,5013,453319606
2025,exp,exp_druhove,33,317,Ministerstvo pro místní rozvoj,5021,44507377
2025,exp,exp_druhove,33,317,Ministerstvo pro místní rozvoj,5024,400000
2025,exp,exp_druhove,33,321,Grantová agentura České republiky,5011,37666151
2025,exp,exp_druhove,33,321,Grantová agentura České republiky,5021,18741881
2025,exp,exp_druhove,33,322,Ministerstvo průmyslu a obchodu,5011,152715553
2025,exp,exp_druhove,33,322,Ministerstvo průmyslu a obchodu,5013,973708668
2025,exp,exp_druhove,33,322,Ministerstvo průmyslu a obchodu,5021,82613115
2025,exp,exp_druhove,33,322,Ministerstvo průmyslu a obchodu,5022,2664000
2025,exp,exp_druhove,33,322,Ministerstvo průmyslu a obchodu,5024,2766299
2025,exp,exp_druhove,33,322,Ministerstvo průmyslu a obchodu,5025,5200000
2025,exp,exp_druhove,33,327,Ministerstvo dopravy,5011,79064254
2025,exp,exp_druhove,33,327,Ministerstvo dopravy,5013,573908283
2025,exp,exp_druhove,33,327,Ministerstvo dopravy,5021,9304196
2025,exp,exp_druhove,33,327,Ministerstvo dopravy,5022,2664000
2025,exp,exp_druhove,33,328,Český telekomunikační úřad,5013,346110228
2025,exp,exp_druhove,33,328,Český telekomunikační úřad,5021,4298977
2025,exp,exp_druhove,33,328,Český telekomunikační úřad,5022,11095200
2025,exp,exp_druhove,33,329,Ministerstvo zemědělství,5011,441720593
2025,exp,exp_druhove,33,329,Ministerstvo zemědělství,5013,2439402449
2025,exp,exp_druhove,33,329,Ministerstvo zemědělství,5021,33480676
2025,exp,exp_druhove,33,329,Ministerstvo zemědělství,5022,2664000
2025,exp,exp_druhove,33,329,Ministerstvo zemědělství,5024,1223206
2025,exp,exp_druhove,33,329,Ministerstvo zemědělství,5025,2100000
2025,exp,exp_druhove,33,333,"Ministerstvo školství, mládeže a tělovýchovy",5011,227496694
2025,exp,exp_druhove,33,333,"Ministerstvo školství, mládeže a tělovýchovy",5013,888355093
2025,exp,exp_druhove,33,333,"Ministerstvo školství, mládeže a tělovýchovy",5021,100175899
2025,exp,exp_druhove,33,333,"Ministerstvo školství, mládeže a tělovýchovy",5022,2664000
2025,exp,exp_druhove,33,333,"Ministerstvo školství, mládeže a tělovýchovy",5024,1000000
2025,exp,exp_druhove,33,333,"Ministerstvo školství, mládeže a tělovýchovy",5025,500000
2025,exp,exp_druhove,33,334,Ministerstvo kultury,5011,32786564
2025,exp,exp_druhove,33,334,Ministerstvo kultury,5013,166498938
